,across,within,Subject,R,Sample rate,Samples,Thresholded Electrodes,Sessions,Number thresholded,Total Time (hrs),Average Session Length (hrs),Total Electrodes,Proportion Thresholded
3324,0.5292544479587036,0.3295530180905173,12,[-18.18 -58.58  -5.77],256.0,1371136,78,2.0,6,1.488,0.744,84,0.071
3325,0.34084727326397224,0.6236330921747496,23,[ 38.38 -46.64  69.36],256.0,295424,59,1.0,4,0.321,0.321,63,0.063
3326,0.4408354622729185,0.18537691432656506,9,[18.18 32.22 60.47],256.0,2132722,80,4.0,24,2.314,0.578,104,0.231
3327,0.6940074587507318,0.3972278703716353,12,[-55.56 -31.92  20.08],256.0,1371136,78,2.0,6,1.488,0.744,84,0.071
3328,0.4327974382288007,0.20102346395813608,50,[-49.49 -24.97 -19.32],2000.0,12000000,56,1.0,7,1.667,1.667,63,0.111
3329,0.5986080373324764,0.3713643520021899,14,[51.52 55.13 12.7 ],256.0,1652585,113,2.0,15,1.793,0.896,128,0.117
3330,0.851975240760072,0.6334488540332779,25,[-68.69 -20.03   8.74],256.0,458496,98,1.0,2,0.498,0.498,100,0.02
3331,0.262198807958406,0.6432921941681995,54,[37.37 53.79 19.16],1000.0,12880000,86,3.0,20,3.578,1.193,106,0.189
3332,0.6489168826887408,0.2993434831852993,40,[-56.57   5.82 -39.  ],400.0,11744000,41,3.0,21,8.156,2.719,62,0.339
3333,0.4170715383712249,0.6830657636926101,19,[-56.57   0.16 -27.4 ],256.0,2357248,63,4.0,8,2.558,0.64,71,0.113
3334,0.3670514752294409,0.5205693009346751,54,[ 48.48 -80.77  27.3 ],1000.0,12880000,86,3.0,20,3.578,1.193,106,0.189
3335,0.3628912088845028,0.4030488640232924,16,[  2.02 -71.61  29.96],256.0,1010176,118,2.0,7,1.096,0.548,125,0.056
3336,0.7753469598685641,0.5954117934040598,24,[-28.28 -23.89 -20.45],256.0,728831,36,2.0,4,0.791,0.396,40,0.1
3337,0.6104560636159353,0.07663890565505352,14,[ -1.01 -31.92  41.85],256.0,1652585,113,2.0,15,1.793,0.896,128,0.117
3338,0.1793429831228394,0.021664499880853474,56,[56.57 15.18 28.01],1000.0,9938000,101,5.0,9,2.761,0.552,110,0.082
3339,0.321007054603947,0.1918870125526403,64,[-32.32   0.93 -45.24],400.0,6599200,38,3.0,10,4.583,1.528,48,0.208
3340,0.7147146336759393,0.5737984357822349,2,[-21.21   7.   -18.67],250.0,1358998,43,2.0,53,1.51,0.755,96,0.552
3341,0.7085990700783191,0.28888166119975744,21,[38.38 -0.67 57.64],512.0,527360,58,1.0,27,0.286,0.286,85,0.318
3342,0.4746251268518321,0.2008467932913106,0,[ 48.48 -20.64  -0.  ],200.0,672600,54,2.0,10,0.934,0.467,64,0.156
3343,0.6482550592007631,0.182224009299902,0,[ 49.49 -22.08 -38.23],200.0,672600,54,2.0,10,0.934,0.467,64,0.156
3344,0.8620905259805247,0.4302673692324111,34,[-54.55   5.97 -42.56],1024.0,4300800,45,2.0,11,1.167,0.584,56,0.196
3345,0.5992509560317361,0.3827111196450483,47,[-63.64   0.46  12.  ],400.0,4115600,107,3.0,15,2.858,0.953,122,0.123
3346,0.2699358339806679,0.031127213779092836,51,[ 32.32 -19.77 -20.21],1000.0,6000000,137,1.0,23,1.667,1.667,160,0.144
3347,0.5793607754644978,0.1171579073848072,17,[-14.14  51.48 -20.86],256.0,758659,156,1.0,0,0.823,0.823,156,0.0
3348,0.2489295822273652,0.5312269266796956,60,[-21.21 -28.42 -11.18],1000.0,8817000,80,2.0,16,2.449,1.224,96,0.167
3349,0.8781771598311785,0.05817007941803596,15,[ 33.33 -62.34  52.21],256.0,1582848,91,3.0,3,1.718,0.573,94,0.032
3350,0.6259004192734117,0.02529919163450312,25,[-23.23  63.17  -4.69],256.0,458496,98,1.0,2,0.498,0.498,100,0.02
3351,0.7206373467655577,0.028212905525595806,53,[ 30.3   -3.76 -32.4 ],1000.0,4104000,78,1.0,12,1.14,1.14,90,0.133
3352,0.07394659685099511,0.2442846988822093,26,[-36.36  -1.13 -45.36],512.0,3686400,30,2.0,11,2.0,1.0,41,0.268
3353,0.40680898433824064,0.3451630668617825,36,[-39.39  28.93 -24.55],256.0,1075200,42,2.0,20,1.167,0.584,62,0.323
3354,0.6416847700168947,0.41909063206961183,7,[-55.56  14.     9.45],256.0,2722843,54,4.0,10,2.954,0.738,64,0.156
3355,0.6690738729040765,0.4662122618398815,11,[ 64.65 -27.85  -0.38],256.0,1708544,83,3.0,3,1.854,0.618,86,0.035
3356,0.6423444746976497,0.32888972420569423,47,[-62.63  -1.08   1.03],400.0,4115600,107,3.0,15,2.858,0.953,122,0.123
3357,0.5746099481302401,0.2718552343699929,55,[ 19.19   7.88 -38.88],1000.0,14711000,102,4.0,18,4.086,1.022,120,0.15
3358,0.6934785418987289,0.5617197943971519,36,[-24.24 -24.25 -12.13],256.0,1075200,42,2.0,20,1.167,0.584,62,0.323
3359,0.13773870132449845,0.3979024891190757,54,[-55.56 -11.01 -31.63],1000.0,12880000,86,3.0,20,3.578,1.193,106,0.189
3360,0.08089402695288657,0.3387458311875826,52,[ 32.32 -14.82 -39.  ],1000.0,14400000,82,2.0,16,4.0,2.0,98,0.163
3361,0.3527773525021527,0.13743292855882527,5,[ 54.55 -31.66  36.42],256.0,861349,95,1.0,9,0.935,0.935,104,0.087
3362,0.3166779357454578,-0.4333662890582927,10,[-18.18 -12.25 -26.93],256.0,1336064,68,1.0,4,1.45,1.45,72,0.056
3363,0.4457084002608845,-0.014610260380544153,51,[  6.06  52.66 -24.37],1000.0,6000000,137,1.0,23,1.667,1.667,160,0.144
3364,0.6003015059141757,0.1827652441644028,43,[-41.41 -19.82 -19.02],400.0,3322800,99,3.0,13,2.308,0.769,112,0.116
3365,0.18874036416748527,-0.24039284270149802,51,[ 25.25   3.09 -47.5 ],1000.0,6000000,137,1.0,23,1.667,1.667,160,0.144
3366,0.3430933858986356,0.5355961848718878,54,[-52.53  47.36   2.5 ],1000.0,12880000,86,3.0,20,3.578,1.193,106,0.189
3367,0.7250977537126817,0.5066410417209373,12,[-52.53 -25.02  26.97],256.0,1371136,78,2.0,6,1.488,0.744,84,0.071
